Data,Produto,Categoria,Quantidade,Preço
2024-01-03,Mouse,Periféricos,2,49.90
2024-01-05,Teclado,Periféricos,1,89.90
2024-01-07,Monitor 24",Monitores,3,749.00
2024-01-10,Cabo HDMI,Acessórios,5,29.90
2024-01-12,Notebook,Computadores,1,3499.00
2024-01-15,HD Externo 1TB,Armazenamento,2,399.00
2024-02-01,Mouse,Periféricos,3,49.90
2024-02-03,Teclado,Periféricos,2,89.90
2024-02-07,Webcam HD,Periféricos,2,199.00
2024-02-10,Impressora Jato de Tinta,Impressoras,1,699.00
2024-02-12,Pendrive,Acessórios,10,39.00

